Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Shenika Carter,https://www.shenikacarter4citycouncil.org,,,https://www.instagram.com/_shenikacarter/,,CO,"Commerce City Council, At-Large"
Geena Pham,https://www.phamforri.com,https://www.facebook.com/phamforri,https://twitter.com/phamforri?lang=en,,,RI,"Rhode Island Senate, District 3"
Corrie Cring,https://corriecring.com/,https://www.facebook.com/cc4chesapeake,https://twitter.com/cc4chesapeake,https://www.instagram.com/cc4chesapeake/,,VA,Chesapeake City Treasurer
Rebecca Beres,https://ephrataforeveryone.com,,,https://www.instagram.com/ephrataforeveryone,,PA,"Ephrata Borough Council, Ward 2"
Rod Hickman,https://www.rodhickman.com,https://www.facebook.com/hickmanfordistrict32,,,,MS,"Mississippi Senate, District 32"
"Delmarina LÃ³pez, Esq.",https://www.electdelmarinalopez.com,https://www.facebook.com/electdelmarinalopez,,https://www.instagram.com/electdelmarinalopez/,,MA,"Chicopee City Council, Ward 3"
Amy Smith,,https://www.facebook.com/amyforwhitehall,,,,OH,"Whitehall City Council, Ward 3"
Raphael Morales,https://raphmorales.com,https://www.facebook.com/raphael.morales.1447,https://twitter.com/raphaelwnc,https://www.instagram.com/humblebreathing,,NC,"Hendersonville City Council, At-Large"
Dan Olson,https://www.olson.school,https://www.facebook.com/olson2021,https://twitter.com/twoskoops,https://www.instagram.com/fromthegreatfrozennorth/,,MN,Minnetonka ISD 276 School Board
Leonardo 'Leo' Williams,https://leofordurham.com/,https://www.facebook.com/leo4durham,https://twitter.com/leofordurham,https://www.instagram.com/leofordurham/,,NC,"Durham City Council, Ward 3"
Thu Nguyen,https://www.votethu.com/,https://www.facebook.com/votethu,https://twitter.com/vote_thu,https://www.instagram.com/votethu/,,MA,"Worcester City Council, At- Large"
Eli Sabin,https://elisabin.com,https://www.facebook.com/elisabin2021,https://twitter.com/eli_sabin,https://www.instagram.com/eli_sabin,,CT,"New Haven City Council, Ward 7"
Bryan Haynes,https://www.choosehaynes4fv.com,https://www.facebook.com/choosehaynes4fv,,https://www.instagram.com/choosehaynes4fv,,NC,Fuquay-Varina Town Commission
Jamell Johnson,https://www.jamellforle.com/,https://www.facebook.com/jamellforle,https://twitter.com/jamellforle,https://www.instagram.com/jamellforle/,,TX,"Little Elm Town Council Place 1, At-Large"
Azrin Awal,https://www.voteazrin.com/,https://www.facebook.com/voteazrin/,,https://www.instagram.com/voteazrin/,,MN,"Duluth City Council, At-Large"
Andrew Davis,https://www.andrewdavisforug.org/,https://www.facebook.com/andrewdavisforug/,,https://www.instagram.com/andrewdavisforug/,,KS,"Wyandotte County Unified Government, District 8"
AJ Harris,https://ajforcfalls.com,https://www.facebook.com/ajharrisoh,https://twitter.com/ajharrisoh,https://www.instagram.com/ajharrisoh/,,OH,Cuyahoga Falls Board of Education
Keara R. Dever,https://www.deverforclerk.com/,https://www.facebook.com/deverforclerk,https://twitter.com/deverforclerk,https://www.instagram.com/deverforclerk/?hl=en,,OH,Kettering Municipal Court Clerk
Riley Alton,https://rileyalton.com/,https://www.facebook.com/rileyaltonforus,https://twitter.com/raaltonoh,https://www.instagram.com/rileyaltonforus,,OH,Olmsted Township Trustee
